Publisher App ID,Publisher App Name,Market ID,Adomain Blocked (Account),Adomain Blocked (App),Adv Market ID Blocked (Account),Adv Market ID Blocked (App),Demand Block Count,Demand Blocks Split,Demand Blocklist IDs,Demand Blocklist Comments,Analyzed Advertiser,Gap Type
66db113537f8220673f9e833,Easy Words IOS,6612024746,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
632cc919d3a73abffd99e8af,Candy Crush Jelly Saga_iOS,1047246341,false,false,true,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
64de05bdabb23eee2a179c21,Number Sums IOS,6449427809,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
6482e37be6783160ceb11570,VitaSolitaire iOS,6446669987,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
5c9c7a4ca4ab3200182c5b48,Difference IOS,1445691600,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
5ed7a4a424d95f000191aeeb,Nonogram Multicolor iOS,1516617231,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
64ef106a4ca99f72ba7c5e9c,Picture Builder iOS,6463711142,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
66a33311e33c9a548741b0b4,My Superstore Simulator,6511238101,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
673c9621f4ded7f554b486cd,Hidden Spots IOS,6736755876,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
5f47c0e4d5fb94000180eeb0,Teacher Simulator,1523627747,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
62a0dc588e56934e78819436,TextNow Android,com.enflick.android.TextNow,false,false,false,false,0,,,,polymarket.com,polymarket_gap
62ebc6936a5160fa248e4f75,Wizard of Oz Match 3 (WozMM),1073286211,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
6855732c53ef1303f912b258,Number Tiles IOS,6746838116,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
6503642f5551fd9849db7a23,OfferUp Android,com.offerup,false,false,false,false,0,,,,polymarket.com,polymarket_gap
64edbd0b4ca99f72ba7c5ca5,Vita Jigsaw iOS,6451403685,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
525755cadbcd54f470000007,Bloons TD Battles - Medallions iOS,624533261,false,false,false,false,0,,,,polymarket.com,polymarket_gap
5d5d836f9cdd320012eca7b3,textPlus iOS,314487667,false,false,false,false,0,,,,polymarket.com,polymarket_gap
68a87109bf529294e179e912,Golfshot: Golf GPS + Watch,622851626,false,false,false,false,1,Global (1),Global (12394172),Global (Spend gate source app <> exchange ABL hourly),polymarket.com,polymarket_gap
6262b25b01290d797e8040b5,Solitaire Spider IOS,1619320898,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
659e1333a5c8c578aac410f0,Vita Mahjong Android,com.vitastudio.mahjong,false,false,false,false,0,,,,polymarket.com,polymarket_gap
64a50c1d831ce850a7064346,Vita Spider iOS,6449570140,false,false,false,false,1,App (1),App (11932005),App (VX only sensitive pubs block to allow removing restrictive IAB category and boost performance),polymarket.com,polymarket_gap
