pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,total_combos,exempted_combo_count,missing_combo_count,missing_combos,dk_app_daily_spend_exempted,exempted_combo_network_daily,missing_combo_network_daily,dk_combo_network_daily_total,penetration_rate,est_uplift_missed_daily
Gravity Labs,677cecb33b9ea20011273987,APAC,Ives Cui,Moneywalk_iOS,677cf457a18672e70722b88f,1638253339,1417.9879,10,6,4,"Combo5,Combo8,Combo9,Combo10",1.937,37079.4684,5547.1635,42626.6319,4.544e-05,0.2521
Aged Studio Limited,5fc7301f7a7f0200153979c7,APAC,Seven Tu,Aged Solitaire GP,67d553af916355d36b9391fc,com.agedstudio.card.solitaire.klondike,771.6683,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.8705,32023.6546,10602.9773,42626.6319,2.042e-05,0.2165
GeoTechnologies Inc.,5f45fb2f150074001547df11,APAC,Nam Trinh,トリマ-移動するだけでポイントが貯まる,5f45ffa82f1f7c000130fe19,1502193377,2510.4773,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.4449,32023.6546,10602.9773,42626.6319,1.044e-05,0.1107
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,10,6,4,"Combo3,Combo4,Combo6,Combo7",0.2068,28372.1576,14254.4743,42626.6319,4.85e-06,0.0692
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Backgammon GP,615dd65a5e0f3b245d50aa97,com.easybrain.backgammon.board.games,1609.4442,10,8,2,"Combo4,Combo7",0.3289,37570.8181,5055.8138,42626.6319,7.72e-06,0.039
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Jigsaw Puzzles Android,5cb99eb2e520d93f2a43c588,com.easybrain.jigsaw.puzzles,3278.9761,10,8,2,"Combo4,Combo7",0.1991,37570.8181,5055.8138,42626.6319,4.67e-06,0.0236
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Solitaire Spider GP,5ebc16f75ebede000128445b,com.easybrain.spider.solitaire,513.6172,10,8,2,"Combo4,Combo7",0.0863,37570.8181,5055.8138,42626.6319,2.02e-06,0.0102
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Logic Puzzle Game,59d39cbfef6627a809002d5b,com.easybrain.sudoku.android,4265.0582,10,8,2,"Combo4,Combo7",0.0405,37570.8181,5055.8138,42626.6319,9.5e-07,0.0048
SmartNews,67d0848db62d6b0011ccb35e,Americas,Lisa Tolentino,SmartNews,67d272b5dc73e19db732c193,jp.gocro.smartnews.android,2759.772,10,6,4,"Combo5,Combo8,Combo9,Combo10",0.0214,37079.4684,5547.1635,42626.6319,5e-07,0.0028
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Blockudoku GP,5dc290cf1051eb0012a6b214,com.easybrain.block.puzzle.games,2959.6395,10,8,2,"Combo4,Combo7",0.0015,37570.8181,5055.8138,42626.6319,4e-08,0.0002
