pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,missing_combo,domain,rtb_account_id,country,combo_daily_spend,network_share,est_uplift_daily,exempted_combo_count,total_combos
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Paper.io 2,5b99403f45e58040ccdd7177,io.voodoo.paper2,3814.5932,Combo10,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,365.6717,8.189e-05,0.3124,4,10
HITAPPS GAMES LTD,6021599b8b3e5600159fcc76,EMEA,Beth Taylor-Lowen,Connect Word iOS,66ed44a4f909844620b79258,6692629257,1069.3365,Combo6,draftkings.com,5f6413c9612b1a0015099993,CA,1296.3796,0.0002903,0.3104,6,10
GeoTechnologies Inc.,5f45fb2f150074001547df11,APAC,Nam Trinh,トリマ-移動するだけでポイントが貯まる,5f45ffa82f1f7c000130fe19,1502193377,2510.4773,Combo9,draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,537.4353,0.00012035,0.3021,4,10
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Hidden Spots,6672d811429c14443ac5fb6d,com.easybrain.hidden.spots,1078.6017,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,0.296,4,10
HITAPPS GAMES LTD,6021599b8b3e5600159fcc76,EMEA,Beth Taylor-Lowen,Connect Word iOS,66ed44a4f909844620b79258,6692629257,1069.3365,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,0.2934,6,10
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Hole.io,5b2a4c2c8815f423b86d090f,io.voodoo.holeio,1045.8782,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,0.287,4,10
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Hidden Spots,6672d811429c14443ac5fb6d,com.easybrain.hidden.spots,1078.6017,Combo8,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,1178.8851,0.00026399,0.2847,4,10
RobTop Games AB,6276c973f70e7c001895be79,EMEA,Louis Wallworth,Geometry Dash Lite,6276cb2872361e0c07c98cec,698255242,3471.3525,Combo10,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,365.6717,8.189e-05,0.2843,6,10
Mattel163 Limited,5b0fc58f19829714e5ad0d2f,APAC,Aria Gao,Skip-Bo Android,60891d3bc6ed3ae6ebd0cf3a,com.mattel163.skipbo,963.685,Combo6,draftkings.com,5f6413c9612b1a0015099993,CA,1296.3796,0.0002903,0.2798,4,10
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Easy Words GP,64f9e2ac8fb8ac04ca897cd1,com.easybrain.word.puzzle.game,2316.8434,Combo9,draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,537.4353,0.00012035,0.2788,4,10
FARSUN PTE LTD,66aafef7514c00001147c0c9,APAC,Harper Zhang,FlickReels,66ac9c873343191babdad3e8,com.zyhwplatform.shortplay,1012.3075,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,0.2778,4,10
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Hole.io,5b2a4c2c8815f423b86d090f,io.voodoo.holeio,1045.8782,Combo8,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,1178.8851,0.00026399,0.2761,4,10
Code Dish GmbH,64075f57d6da1900141e5aba,EMEA,Hadil Salameh,"Sweet Crunch - Matching, Blast Puzzle Game",6051fadcdec34f1e8a8888cc,com.cookie.match3.casual,1034.5435,Combo8,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,1178.8851,0.00026399,0.2731,6,10
Skywork AI PTELTD,67c01767cc8ae200116e5d00,APAC,Ronald Long,FreeReels-iOS,6970c7fe73c0a231fff79cc7,6738081517,3320.4948,Combo10,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,365.6717,8.189e-05,0.2719,6,10
FALCON GLOBAL LTD.,5a57133a3610bbb671016ff3,APAC,Nam Trinh,Goods Sorting: Match 3 Puzzle PM_1945,660a20c0c5f237ebf7b4ac68,com.fc.goods.sort.matching.puzzle.triplemaster,2243.5693,Combo9,draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,537.4353,0.00012035,0.27,2,10
Gravity Labs,677cecb33b9ea20011273987,APAC,Ives Cui,moneywalk_AOS,677e35a5d7a0b145879b00a7,com.tracerofficial,2237.4241,Combo9,draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,537.4353,0.00012035,0.2693,6,10
Code Dish GmbH,64075f57d6da1900141e5aba,EMEA,Hadil Salameh,Dream Island - Match 3 Games,647dbe0bb7a4c97fb3997264,com.dream.free.games.match3,2227.9975,Combo9,draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,537.4353,0.00012035,0.2681,6,10
FARSUN PTE LTD,66aafef7514c00001147c0c9,APAC,Harper Zhang,FlickReels,66ac9c873343191babdad3e8,com.zyhwplatform.shortplay,1012.3075,Combo8,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,1178.8851,0.00026399,0.2672,4,10
IEC Global Pty Ltd.,5b1f351e3eddeb10ce7fa54c,APAC,Nam Trinh,Water Sort Puzzle iOS,5f2d0c03f503650001351c59,1514542157,916.6048,Combo6,draftkings.com,5f6413c9612b1a0015099993,CA,1296.3796,0.0002903,0.2661,2,10
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Art Puzzle - iOS,5ef316979c3a0300015b0a03,1519174001,2211.0834,Combo9,draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,537.4353,0.00012035,0.2661,4,10
Code Dish GmbH,64075f57d6da1900141e5aba,EMEA,Hadil Salameh,Tile Match - Match Puzzle Game,63b7bf0fa928816f6c42effc,com.tile.match.blockpuzzle,3248.3204,Combo10,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,365.6717,8.189e-05,0.266,6,10
Mattel163 Limited,5b0fc58f19829714e5ad0d2f,APAC,Aria Gao,Skip-Bo Android,60891d3bc6ed3ae6ebd0cf3a,com.mattel163.skipbo,963.685,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,0.2644,4,10
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Pixel Art: Create by Number,5b61c1d3a5eacf3ee67a792c,com.europosit.pixelcoloring,2173.309,Combo9,draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,537.4353,0.00012035,0.2616,4,10
FALCON GLOBAL LTD.,5a57133a3610bbb671016ff3,APAC,Nam Trinh,Cake Sort - Color Puzzle Game IOS PM D2M,64781b96dac1393f38b604ca,6448392144,892.843,Combo6,draftkings.com,5f6413c9612b1a0015099993,CA,1296.3796,0.0002903,0.2592,2,10
Aged Studio Limited,5fc7301f7a7f0200153979c7,APAC,Seven Tu,Aged_Solitaire_IOS,65a909094b4b5121d92d9993,1482887935,943.5261,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,0.2589,8,10
SYBO Games,5c52bd6ffbeb402419bef87d,EMEA,Louis Wallworth,Subway Surfers (Non-COPPA),5e4e6838246d020018f1e653,com.kiloo.subwaysurf,2143.2636,Combo9,draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,537.4353,0.00012035,0.2579,4,10
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Epic Plane Evolution,66b0c2e2e33c9a548741f773,6504122823,936.4398,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,0.2569,8,10
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Daily Themed Crossword - A Fun crossword Android,5af5545d8e03cf7acee13a66,in.crossy.daily_crossword,926.4727,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,0.2542,8,10
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Number Sums IOS,64de05bdabb23eee2a179c21,6449427809,917.2234,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,0.2517,8,10
IEC Global Pty Ltd.,5b1f351e3eddeb10ce7fa54c,APAC,Nam Trinh,Water Sort Puzzle iOS,5f2d0c03f503650001351c59,1514542157,916.6048,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,0.2515,2,10
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Flappy Dunk,5950d4eef493bbec54002184,1235581326,901.4023,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,0.2473,4,10
FARSUN PTE LTD,66aafef7514c00001147c0c9,APAC,Harper Zhang,FlickReels,66ab1f501ea687af3dc00e4e,6514312894,893.8792,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,0.2453,8,10
FALCON GLOBAL LTD.,5a57133a3610bbb671016ff3,APAC,Nam Trinh,Cake Sort - Color Puzzle Game IOS PM D2M,64781b96dac1393f38b604ca,6448392144,892.843,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,0.245,2,10
RobTop Games AB,6276c973f70e7c001895be79,EMEA,Louis Wallworth,Geometry Dash Lite Android,6295ff7c3987b19e74b43c3e,com.robtopx.geometryjumplite,2971.0927,Combo10,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,365.6717,8.189e-05,0.2433,6,10
IEC Global Pty Ltd.,5b1f351e3eddeb10ce7fa54c,APAC,Nam Trinh,Water Sort Puzzle iOS,5f2d0c03f503650001351c59,1514542157,916.6048,Combo8,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,1178.8851,0.00026399,0.242,2,10
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Jigsawcard iOS,69154b0b1de7be35146a52bd,6754900673,2000.8595,Combo9,draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,537.4353,0.00012035,0.2408,2,10
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Arrows GO! iOS,69c2954b7c25f96d75ccd5f2,6758326278,2911.1141,Combo10,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,365.6717,8.189e-05,0.2384,2,10
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Flappy Dunk,5950d4eef493bbec54002184,1235581326,901.4023,Combo8,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,1178.8851,0.00026399,0.238,4,10
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Solitaire - Card Game,64a41edf830ec394da0090b7,com.playvalve.solitaire,815.1386,Combo6,draftkings.com,5f6413c9612b1a0015099993,CA,1296.3796,0.0002903,0.2366,6,10
FALCON GLOBAL LTD.,5a57133a3610bbb671016ff3,APAC,Nam Trinh,Cake Sort - Color Puzzle Game IOS PM D2M,64781b96dac1393f38b604ca,6448392144,892.843,Combo8,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,1178.8851,0.00026399,0.2357,2,10
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Dominoes Masters,66166d8dc0c070078a977c88,com.playvalve.dominoes,801.3498,Combo6,draftkings.com,5f6413c9612b1a0015099993,CA,1296.3796,0.0002903,0.2326,6,10
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Nonogram Android,5d406c47cf18f200178643cf,com.easybrain.nonogram,1897.2346,Combo9,draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,537.4353,0.00012035,0.2283,4,10
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Ball Blast,5af56c332803314ab33837f0,1383187127,829.4025,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,0.2276,4,10
SmartNews,67d0848db62d6b0011ccb35e,Americas,Lisa Tolentino,SmartNews,67d272b5dc73e19db732c193,jp.gocro.smartnews.android,2759.772,Combo10,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,365.6717,8.189e-05,0.226,6,10
LOTUM Media GmbH,561e8d936b8d90f61a0014ca,EMEA,Hadil Salameh,4 Pics 1 Word Android,515aff900964d0f21f00000e,de.lotum.whatsinthefoto.us,850.5224,Combo8,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,1178.8851,0.00026399,0.2245,6,10
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Solitaire - Card Game,64a41edf830ec394da0090b7,com.playvalve.solitaire,815.1386,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,0.2237,6,10
Gametion,561e8d956b8d90f61a0026fb,Americas,Rutvij Jadav,Ludo King,57bd636e47a977322200001a,993090598,806.2307,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,0.2212,4,10
Gametion,561e8d956b8d90f61a0026fb,Americas,Rutvij Jadav,Ludo King,57bfce9a3ce6f97623000025,com.ludo.king,802.8256,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,0.2203,4,10
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Dominoes Masters,66166d8dc0c070078a977c88,com.playvalve.dominoes,801.3498,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,0.2199,6,10
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Ball Blast,5af56c332803314ab33837f0,1383187127,829.4025,Combo8,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,1178.8851,0.00026399,0.219,4,10
GeoTechnologies Inc.,5f45fb2f150074001547df11,APAC,Nam Trinh,トリマ-移動するだけでポイントが貯まる,5f45ffd8256e1b0001a4189a,jp.co.incrementp.milemobile,1808.1312,Combo9,draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,537.4353,0.00012035,0.2176,4,10
Gametion,561e8d956b8d90f61a0026fb,Americas,Rutvij Jadav,Ludo King,57bd636e47a977322200001a,993090598,806.2307,Combo8,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,1178.8851,0.00026399,0.2128,4,10
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,Yatzy - Fun Classic Dice Game,649fd139847c940a560e47aa,com.playvalve.yatzy,730.9495,Combo6,draftkings.com,5f6413c9612b1a0015099993,CA,1296.3796,0.0002903,0.2122,6,10
SmartNews,67d0848db62d6b0011ccb35e,Americas,Lisa Tolentino,SmartNews for docomo,69680f5935536525d31e36b2,com.nttdocomo.android.mymagazine,802.949,Combo8,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,1178.8851,0.00026399,0.212,6,10
Gametion,561e8d956b8d90f61a0026fb,Americas,Rutvij Jadav,Ludo King,57bfce9a3ce6f97623000025,com.ludo.king,802.8256,Combo8,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,1178.8851,0.00026399,0.2119,4,10
Aged Studio Limited,5fc7301f7a7f0200153979c7,APAC,Seven Tu,Aged Solitaire GP,67d553af916355d36b9391fc,com.agedstudio.card.solitaire.klondike,771.6683,Combo7,casino.draftkings.com,602442ef9f0893001526406b,US,1225.3136,0.00027439,0.2117,4,10
