rtb_connection_id,rtb_connection_name,rtb_daily_spend,filter_type,blocked_app_id,blocked_app_name,blocked_account_id,blocked_account_name,app_daily_revenue,uplift_score
67c0fee526d63f95b4dc7b44,RTB - RTBHouse PL Video Bundle Test,1051.2,allow,67d28cc1043308f88f90f139,Jigsolitaire,561e8d936b8d90f61a00046c,"Gamincat, Inc.",3722.95,3913574.58
68a44e4ac6004eae5468c4d2,RTB - Temu Hybrid iOS Exp,2618.61,allow,671b7e8c7b3ea5a17e5cfb7c,SCKi,66c45f2c053da00011d69728,Standard Game Limited,1494.23,3912801.4
610114023b0d9d6e3e3d8c8c,RTB - Mintegral hardcore video,1175.61,allow,6814f77716e6847d6f09c8a5,Shape Escape Android,58737456236d8f446400071c,FIOGONIA LIMITED,3327.45,3911786.32
6880d8a434bf17191290ccf6,Exchange - RTB - Zmaticoo - US Video -  Android WL,3266.71,allow,62227129431815d6a87ea5a4,Wordle!,5f064bf93191d60018f0fd5a,Lion Studios,1197.09,3910558.83
67c0fee526d63f95b4dc7b44,RTB - RTBHouse PL Video Bundle Test,1051.2,allow,684ac236c195c4600e87433a,細胞保衛戰,634d301fa3774b001b7c0dbc,ToGather Fun Limited,3717.92,3908282.96
6880d8a434bf17191290ccf6,Exchange - RTB - Zmaticoo - US Video -  Android WL,3266.71,allow,5f8f94718ed209da18d1e609,明星3缺1,58f6ca6b9c7b5e663b001460,"International Games System Co., LTD.",1196.37,3908195.07
68a44e4ac6004eae5468c4d2,RTB - Temu Hybrid iOS Exp,2618.61,allow,66d574e85634666900b5bc0b,Screw Sort 3D,6364b12e3ad6c7001711d812,Fodream Limited,1492.08,3907181.83
69334e3c8a10c39937e87752,RTB - Magnite Direct Placements - Americas Banner,1399.14,allow,623d282d1357d77504c26356,PLAYit,623d267a77ab250011858b6d,personal,2792.1,3906527.42
69334e3c8a10c39937e87752,RTB - Magnite Direct Placements - Americas Banner,1399.14,allow,5de10e548ce8520017e173ef,Sudoku Android,5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,2791.62,3905851.07
64ecf86c2f56a48df271382d,RTB - LoopMe Static Interstitial,1005.69,deny,648954542a2e454c7c0aba4e,GoodReels-IOS,63e35991bbe8fa0014380604,Singapore New Reading Technology Pt,3883.0,3905084.23
68a44e4ac6004eae5468c4d2,RTB - Temu Hybrid iOS Exp,2618.61,allow,627a7fad9a5916612c6cb77e,IT-PM_Futbin_iOS,5a53889945eaab512501251e,AddApptr GmbH,1490.48,3902986.41
68a44e4ac6004eae5468c4d2,RTB - Temu Hybrid iOS Exp,2618.61,allow,6336c08284d3dbb5c1b2fb22,Gossip Harbor: Merge & Story,58adf6988e52ab4d320004d1,Microfun,1489.06,3899268.83
6880d8a434bf17191290ccf6,Exchange - RTB - Zmaticoo - US Video -  Android WL,3266.71,allow,65979f2c5118aef8c276344b,Nostal Solitaire,5fc0a33dcb32b5001563f9dc,AmberMobile Limited,1193.37,3898389.61
69498ccc4edfe61694687960,RTB - YouAppi Video - Prefiltering Americas,2347.14,deny,673d806f14a0e4daa676a12c,Screw Jam Master,5f0c183af52f8e001b9cc198,BOLOYO LIMITED,1659.77,3895720.39
68a44e4ac6004eae5468c4d2,RTB - Temu Hybrid iOS Exp,2618.61,allow,581790e0591c1ca0390001a0,iOS Pyramid,561e8d936b8d90f61a000455,Mobility Ware,1487.66,3895605.53
68a44e4ac6004eae5468c4d2,RTB - Temu Hybrid iOS Exp,2618.61,allow,68a33d1dc1651e2c85a38a97,Drop The Cat iOS,5e5381e2bd20d800170948e8,ActionFit,1487.39,3894880.82
