account_id,account_name,account_daily_spend,blocked_creative_id,is_high_spend_creative
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_362511281,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_756848,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760683,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_348558605,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760678,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_365658953,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_329740401,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760664,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_345531629,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_365198659,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760684,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_363356439,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_369808021,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760675,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_368695949,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_743315,False
606c7bac7a37680015801ad8,jiayou,196782.26,6135c233b2f85d001747c3d2_7314485694547439620,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_365360451,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_362833460,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_368912965,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760682,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760673,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_367677755,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760680,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760674,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_366135944,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760679,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_363697623,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760668,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760677,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_336912127,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760672,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760676,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_351077910,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760669,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760667,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760670,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760685,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_365416582,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_351189551,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_645277,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921134,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_645249,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760671,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760681,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_364228127,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_756834,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_362529279,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_349973932,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_352105655,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_363995099,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_365195776,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_760686,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_345220478,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_73,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_352296080,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_364004856,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_365046389,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_367581744,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_40,False
606c7bac7a37680015801ad8,jiayou,196782.26,60bdc983a982ad0017edb6f7_2865575871,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_358980255,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_370053471,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_365195952,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_363995560,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_77,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_363356441,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_362511281,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_359046090,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_67,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_369536242,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_369808021,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_349973933,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_27,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_4,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_9,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_364975229,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_92,False
606c7bac7a37680015801ad8,jiayou,196782.26,60bdc983a982ad0017edb6f7_2865464082,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_353156043,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_370709575,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_345531628,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_354959175,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_11,False
606c7bac7a37680015801ad8,jiayou,196782.26,60bdc983a982ad0017edb6f7_2866923367,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_20,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_45,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_66,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_85,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_94,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_756840,False
606c7bac7a37680015801ad8,jiayou,196782.26,60bdc983a982ad0017edb6f7_2866923371,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_751619,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_364003089,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_367590723,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_16,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_352296009,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_21,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_3,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_37,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_353154680,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_42,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_59,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_31,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_90,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_756901,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_365198530,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_13,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_39,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_52,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_61,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_62,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_50,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_84,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_91,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_93,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_744701,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_361700471,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_357636941,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_18,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_25,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_26,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_33,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_14,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_43,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_744183,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_55,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_64,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_28,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_83,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_369176766,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_23,False
606c7bac7a37680015801ad8,jiayou,196782.26,5f6413c9612b1a0015099993_744185,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_363466488,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_347992019,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_358980255,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_17,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_41,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_63,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_87,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_358005449,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_95,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_352296009,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_97,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_76,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_363356439,False
606c7bac7a37680015801ad8,jiayou,196782.26,5e89fcef428f870016d9e994_370709578,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_363191050,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_365195754_4,False
606c7bac7a37680015801ad8,jiayou,196782.26,6526e0feb1392d001124df7d_368921098_15,False
