pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,level,block_type,block_value,adv_title,network_share,adv_daily_spend,est_uplift_daily
OfferUp,650360eb0950ee00114dc484,Americas,Kasey Geist,,,,42039.6321,account,market id,6738905436,Lavish Luck Casino,0.0008263,3689.963,34.7375
LINE Digital Frontier,64131058280ea30014b0ed99,APAC,Ives Cui,,,,3389.366,account,market id,1641486558,Temu: Shop Like a Billionaire,0.01024118,45733.3513,34.7111
Fodream Limited,6364b12e3ad6c7001711d812,APAC,Harper Zhang,,,,6017.0282,account,domain,crowncoinscasino.com,,0.00576772,25756.5274,34.7046
Bigo,63f725cfaa034900149db38c,APAC,Harper Zhang,,,,14349.4671,account,market id,com.kwai.video,Kwai - Video & Drama,0.002416,10788.9753,34.6683
FALCON GLOBAL LTD.,5a57133a3610bbb671016ff3,APAC,Nam Trinh,,,,10046.5933,account,market id,1523280942,BETBOOM - ставки на спорт,0.00344541,15385.9362,34.6146
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong,653a33af7b1a3c2b6f2b138a,6468921495,44343.6723,app,market id,1617391485,Block Blast！,0.00077868,3477.3032,34.5296
Duolingo,68799f38babc2000110fe539,Americas,Matthew Hong,,,,45204.0952,account,domain,capital.com,,0.00076363,3410.077,34.5191
TextNow,622a3f10c690c40013e4728e,Americas,Jack Dove,,,,33191.959,account,market id,sg.bigo.live,Bigo Live - Live Streaming App,0.00103972,4643.0103,34.5104
HITAPPS GAMES LTD,6021599b8b3e5600159fcc76,EMEA,Beth Taylor-Lowen,,,,17590.0431,account,market id,com.sgiggle.production,"Tango: Live Stream, Video Chat",0.00196154,8759.5259,34.5036
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,market id,877638937,Governor of Poker 3 - Holdem,0.00035597,1589.6327,34.4815
Livesport sro,684c3af4806ba9001147f9cd,EMEA,Louis Wallworth,,,,17567.0336,account,market id,com.sgiggle.production,"Tango: Live Stream, Video Chat",0.00196154,8759.5259,34.4585
Zynga,56c3a378adccd1cb7e00000a,Americas,Lisa Tolentino,,,,57366.1629,account,domain,superlive.chat,,0.00060058,2681.984,34.4532
Rollic Games,5bec0018c9af0a7962a96f4a,EMEA,Dina Eraksan,,,,5962.8382,account,market id,6450413462,CrownCoins Casino,0.00575744,25710.6289,34.3307
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,,,,29726.8704,account,market id,1522266397,Bingo Cash - Win Real Money,0.00115404,5153.5247,34.306
WONDERFUL TYCOON LIMITED,683bc1bb4c15ca0011ad2b91,APAC,Sunton Sun,,,,9607.5382,account,market id,6468921495,Vita Mahjong,0.00356895,15937.6227,34.2888
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,market id,com.axlebolt.standoff2,Standoff 2,0.0003538,1579.9566,34.2716
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,6443823893,سوا بلاي,0.00039215,1751.1978,34.2317
HITAPPS GAMES LTD,6021599b8b3e5600159fcc76,EMEA,Beth Taylor-Lowen,,,,17590.0431,account,market id,1446254576,Solitaire Cash: Win Real Money,0.00194432,8682.6263,34.2007
