account_id,account_name,account_daily_spend,blocked_match_key,creative_daily_spend,creative_pct_of_network,potential_uplift
5b1526a7de961d3317b1d475,X-FLOW LTD,9993.82,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_cJM73,6975.39,0.67,66.62
5b1526a7de961d3317b1d475,X-FLOW LTD,9993.82,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_ASzpF,6951.66,0.66,66.39
56c3a378adccd1cb7e00000a,Zynga,60331.72,5f6413c9612b1a0015099993_451843,1096.28,0.1,63.2
56d55c72562b9c353800000d,Voodoo,40194.59,5f6413c9612b1a0015099993_992292,1581.97,0.15,60.76
56c3a378adccd1cb7e00000a,Zynga,60331.72,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250620_HO3FP,1046.63,0.1,60.34
56c3a378adccd1cb7e00000a,Zynga,60331.72,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250620_lG6C2,1002.24,0.1,57.78
561e8d936b8d90f61a000ade,Supercell,17288.11,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_45VaL,2625.67,0.25,43.38
561e8d936b8d90f61a000ade,Supercell,17288.11,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_LJOnN,2587.97,0.25,42.76
561e8d936b8d90f61a000ade,Supercell,17288.11,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_THgDb,2534.4,0.24,41.87
561e8d936b8d90f61a000ade,Supercell,17288.11,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_xrBfE,2531.99,0.24,41.83
561e8d936b8d90f61a000ade,Supercell,17288.11,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_MtQWX,2517.61,0.24,41.59
561e8d936b8d90f61a000ade,Supercell,17288.11,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_uTlPO,2508.93,0.24,41.45
561e8d936b8d90f61a000ade,Supercell,17288.11,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_UDind,2508.25,0.24,41.44
561e8d936b8d90f61a000ade,Supercell,17288.11,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_J6PKz,2498.46,0.24,41.28
561e8d936b8d90f61a000ade,Supercell,17288.11,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_cDBKw,2458.02,0.23,40.61
561e8d936b8d90f61a000ade,Supercell,17288.11,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_puQqY,2426.4,0.23,40.09
5d8880f1444f7200181b5e1d,Lihuhu,6703.0,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_JnFqf,6056.09,0.58,38.79
5d8880f1444f7200181b5e1d,Lihuhu,6703.0,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_3ZbvN,5933.96,0.57,38.01
5d8880f1444f7200181b5e1d,Lihuhu,6703.0,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_RU8W9,5896.24,0.56,37.77
5d8880f1444f7200181b5e1d,Lihuhu,6703.0,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_lWGdG,5844.52,0.56,37.44
