domain,rtb_account_id,country,network_spend_7d,network_daily_spend,route_key
lbhit939.top,6135c233b2f85d001747c3d2,RU,32794.84422723419,4684.9777,"('lbhit939.top', '6135c233b2f85d001747c3d2', 'RU')"
creditkarma.com,60770b778d0e4a0015f20ea9,US,32758.912050740033,4679.8446,"('creditkarma.com', '60770b778d0e4a0015f20ea9', 'US')"
kwai.com,65b7e5c3d5f847001169024b,BR,31952.646293110036,4564.6638,"('kwai.com', '65b7e5c3d5f847001169024b', 'BR')"
32red.com,5f6413c9612b1a0015099993,GB,31605.52833814997,4515.0755,"('32red.com', '5f6413c9612b1a0015099993', 'GB')"
shopee.co.id,63d743303639240014ba0dd0,ID,31505.224125260036,4500.7463,"('shopee.co.id', '63d743303639240014ba0dd0', 'ID')"
papayagaming.com,5f6413c9612b1a0015099993,US,31332.43729376657,4476.0625,"('papayagaming.com', '5f6413c9612b1a0015099993', 'US')"
freecash.com,5f6413c9612b1a0015099993,GB,31082.501407053453,4440.3573,"('freecash.com', '5f6413c9612b1a0015099993', 'GB')"
spark.net,5f6413c9612b1a0015099993,US,30910.032127323935,4415.7189,"('spark.net', '5f6413c9612b1a0015099993', 'US')"
creditkarma.com,5bc0e10e25c7d7796ebe8fc0,US,30876.154544000095,4410.8792,"('creditkarma.com', '5bc0e10e25c7d7796ebe8fc0', 'US')"
moneylion.com,5f6413c9612b1a0015099993,US,30504.192548724044,4357.7418,"('moneylion.com', '5f6413c9612b1a0015099993', 'US')"
gotdragonfire.com,5f6413c9612b1a0015099993,US,30468.067026527366,4352.581,"('gotdragonfire.com', '5f6413c9612b1a0015099993', 'US')"
centurygame.com,5f6413c9612b1a0015099993,US,30372.986947292167,4338.9981,"('centurygame.com', '5f6413c9612b1a0015099993', 'US')"
com.mergegame.icookie,5f6413c9612b1a0015099993,US,30166.29675981789,4309.471,"('com.mergegame.icookie', '5f6413c9612b1a0015099993', 'US')"
kwai.com,5e89fcef428f870016d9e994,BR,30050.883617960015,4292.9834,"('kwai.com', '5e89fcef428f870016d9e994', 'BR')"
temu.com,67055dc40f05bd0011e279ae,ES,29739.63858543924,4248.5198,"('temu.com', '67055dc40f05bd0011e279ae', 'ES')"
pari.ru,5f6413c9612b1a0015099993,RU,29536.950722283105,4219.5644,"('pari.ru', '5f6413c9612b1a0015099993', 'RU')"
temu.com,67055dc40f05bd0011e279ae,DE,28997.893207423076,4142.5562,"('temu.com', '67055dc40f05bd0011e279ae', 'DE')"
globalcc.top,60bdc983a982ad0017edb6f7,US,28918.430209913975,4131.2043,"('globalcc.top', '60bdc983a982ad0017edb6f7', 'US')"
mistplay.com,5f6413c9612b1a0015099993,US,28690.141076091495,4098.5916,"('mistplay.com', '5f6413c9612b1a0015099993', 'US')"
jp.co.rakuten.android,561e8d936b8d90f61a000d2f,JP,28639.18477089655,4091.3121,"('jp.co.rakuten.android', '561e8d936b8d90f61a000d2f', 'JP')"
otto.de,5f6413c9612b1a0015099993,DE,28559.61772402351,4079.9454,"('otto.de', '5f6413c9612b1a0015099993', 'DE')"
shopee.ph,5fffe796e4fa2100156e364a,PH,28497.911888223818,4071.1303,"('shopee.ph', '5fffe796e4fa2100156e364a', 'PH')"
zynga.com,5f6413c9612b1a0015099993,US,28485.456542837303,4069.3509,"('zynga.com', '5f6413c9612b1a0015099993', 'US')"
wudi360.com,5f6413c9612b1a0015099993,US,28383.746612026745,4054.8209,"('wudi360.com', '5f6413c9612b1a0015099993', 'US')"
playtika.com,5f6413c9612b1a0015099993,US,28172.615160734684,4024.6593,"('playtika.com', '5f6413c9612b1a0015099993', 'US')"
betmaster.com.mx,5f6413c9612b1a0015099993,MX,27405.350763785114,3915.0501,"('betmaster.com.mx', '5f6413c9612b1a0015099993', 'MX')"
draftkings.com,602442ef9f0893001526406b,US,27369.92671343602,3909.9895,"('draftkings.com', '602442ef9f0893001526406b', 'US')"
oakevergames.com,5f6413c9612b1a0015099993,US,27250.052943900504,3892.8647,"('oakevergames.com', '5f6413c9612b1a0015099993', 'US')"
amazon.co.uk,66cde67e3db5f70011e66c74,GB,26936.175349999998,3848.025,"('amazon.co.uk', '66cde67e3db5f70011e66c74', 'GB')"
pf1hh5eg3gi8iz8h.com,5f6413c9612b1a0015099993,BR,26768.211388606156,3824.0302,"('pf1hh5eg3gi8iz8h.com', '5f6413c9612b1a0015099993', 'BR')"
aliexpress.com,5e89fcef428f870016d9e994,ES,26496.695104339957,3785.2422,"('aliexpress.com', '5e89fcef428f870016d9e994', 'ES')"
higgs.dominoislandgame.com,5f6413c9612b1a0015099993,ID,26303.27479986175,3757.6107,"('higgs.dominoislandgame.com', '5f6413c9612b1a0015099993', 'ID')"
grand.gs,5f6413c9612b1a0015099993,CA,25895.12872492725,3699.3041,"('grand.gs', '5f6413c9612b1a0015099993', 'CA')"
temu.com,67055dc40f05bd0011e279ae,UA,25859.3981555502,3694.1997,"('temu.com', '67055dc40f05bd0011e279ae', 'UA')"
temu.com,67055dc40f05bd0011e279ae,NO,25686.691348406053,3669.5273,"('temu.com', '67055dc40f05bd0011e279ae', 'NO')"
mercadolibre.com.mx,645a4ac71263430014fc0a33,MX,25685.872628203273,3669.4104,"('mercadolibre.com.mx', '645a4ac71263430014fc0a33', 'MX')"
fanatics.com,5f6413c9612b1a0015099993,US,25606.222684233253,3658.0318,"('fanatics.com', '5f6413c9612b1a0015099993', 'US')"
temu.com,67055dc40f05bd0011e279ae,CL,25324.826108174875,3617.8323,"('temu.com', '67055dc40f05bd0011e279ae', 'CL')"
